id;dc_famil;dc_imena;dc_pol;dc_grad;dc_ulica
1;times without celebrate;some;wilted;usefully incidentally;outlandish blowgun when
2;word deploy misjudge;joyfully;fervently tenant;knottily healthily though;neatly yum interviewer
3;because and;supplier;an guide promise;dwell squid;duh tomorrow given
4;ha;beyond;blacken;uh-huh whoever;denitrify jaggedly
5;address;so;famously married;cheap necklace blind;seemingly devise married
6;wilted;cooperative blah manner;focused;provided beyond;offensively
7;adolescent purple atop;hence summary except;or not;oh ugly;delicious implode underpants
8;freely;supposing;tune modulo negative;earth;citizen
9;gladly;into mechanically;mutate apropos for;confound fooey per;psst now hence
10;dimly;woot from;duh;commemorate alongside worth;ouch
