id;eu_famil;eu_imena;eu_nac_bel;eu_rodstvo
1;after impassioned hmph;tattered e-mail for;including swear;extract
2;beyond quantify internalise;under amazing focalise;woot gosh;amidst vamoose sad
3;what before gah;cosset;popularity;populist yowza information
4;violently unearth forenenst;adolescent upliftingly wound;sedately pushy;omelet where
5;pointed;however absent;chromakey;by
6;syringe;idealistic by;even;metal transcend midst
7;knitting in-joke exaggerate;indeed yahoo;converse;duh sharply that
8;exonerate comfortable;notwithstanding unless astride;besides;disgorge
9;procrastinate toward;ack why;pale;knottily
10;bah;standard early lox;ack quarrel soon;whose
