id;fn_datreg;fn_datvav;fn_usera;fn_sid;fn_pnr;fn_vidmol;fn_drugi;fn_deviceid;fn_scanres;fn_width;fn_height;fn_pixeldepth;fn_compressalgo;fn_fingerposition;fn_imagequality;fn_image;fn_imglen;fn_nottakenreason
1;2025-10-29;2025-10-29T13:12:44;saturate trust;5165;18877;nor at;scale ah;11682;11862;29243;6059;13801;1363;whoever ouch attraction;7143;hello along but;16563;afore around enroll
2;2025-10-30;2025-10-29T20:16:41;stall obsess duffel;16779;1346;summary;if next;14113;30250;9322;7833;31363;18119;councilman woot once;22692;fail hastily;27324;fowl since gadzooks
3;2025-10-29;2025-10-29T19:35:55;huzzah;30547;14580;yieldingly meanwhile shark;healthily apropos gum;30837;26221;23732;27592;23452;16376;carefree;26657;yowza weakly;31599;terrible cinema viciously
4;2025-10-30;2025-10-29T17:33:20;tag;19496;19062;seemingly;summer;8049;18824;15985;29655;8497;475;grade;1598;yowza amazing shirk;11290;pace
5;2025-10-30;2025-10-29T20:53:26;misreport masculinize lamp;9910;28653;pale hence uneven;gorgeous avow tusk;5801;12201;4785;1359;2849;21678;the abseil fooey;27334;beyond duh;31825;victorious willfully
6;2025-10-29;2025-10-29T22:13:28;shimmering;12369;6043;brook object gracious;refute light whether;27409;4529;20769;1549;21579;3546;obediently casement;25667;deserted;13546;shiny
7;2025-10-30;2025-10-30T07:39:03;closely delight;14701;20586;keel drat than;possible instead worth;6819;29733;24898;24951;9870;24669;by;18676;fooey until quarrelsome;19339;inspection upright geez
8;2025-10-29;2025-10-30T06:14:45;when statue newsstand;4785;14659;meh crossly astride;hmph brr;8527;9595;27079;26414;28708;3262;tackle;7765;if collaborate;821;lest ethyl
9;2025-10-29;2025-10-30T01:37:20;likewise grok inquisitively;20096;5370;far;finished lazily;31341;30851;8082;9933;7933;3003;hence;3433;pigsty duh;23259;bourgeoisie
10;2025-10-29;2025-10-29T12:02:41;busily unabashedly disclosure;12491;24361;republican;ew;27828;1313;4011;17324;11419;24909;flight wavy storyboard;25979;unless revere;17308;surprise now meh
