id;ld_mrjdarj;ld_mrjnm;ld_mrjgraj;ld_zenen;ld_jit_darj;ld_jit_nm;ld_jit_ul;ld_tel;ld_rabota;ld_profkod;ld_profesia;ld_sl_darj;ld_sl_nm;ld_sl_ul
1;to;whisper;writ boiling neatly;qua;neighboring;selfishly ew;skeletal;13254;behind;enlightened safely squeaky;whoever who grimy;atomize provided concerning;whether brr;aw gosh concerning
2;ice-cream;forgery populist;considering imaginative meanwhile;fair;even snack;when;whoa;16916;after other since;until gee;aha for hm;continually finally;upright;tinted culture snoopy
3;phew gadzooks;provided;garage lighthearted crazy;duh whoa spotless;coliseum circa;ill clearly;without amongst how;4622;incidentally;unto;instead unselfish ravage;depute gosh hm;usually soggy whether;celebrated swanling
4;degenerate geez whose;suspiciously liberalize worth;flint garage often;offend;strange sans;infatuated while worth;depute for platter;9453;where;cuckoo geez;austere;avow;incinerate;when dial
5;drat fooey;pleasing reiterate notwithstanding;whose casement badly;suspiciously really;though;before;eyeglasses;1895;aw with;fooey whether;white upright;although overconfidently qua;avow;accompanist
6;legislature next;polite;meh lest;from ideal;shrill how;fatally;nicely than er;13469;until;briefly stylish;shrilly;hutch aggressive;neglected habit peninsula;hmph when
7;gosh aw lest;uneven boldly;woefully ambitious vivacious;massive however;longingly;below ack consequently;while easy starch;22154;er;mid;complicated hence blah;softly revere;commemorate t-shirt;scrap yet
8;since out;assist ocelot;atop cool adviser;smoothly ravioli though;case;now deplore;depart commonly;6333;analogy haircut sleepily;mid triumphantly fisherman;whoever pfft;throughout wherever;mill across;given scope
9;softly whether brr;inasmuch stale yum;although;above skyscraper;misappropriate;snoopy;into miserably fencing;10274;goose;unabashedly accomplished;far though pro;detain;hm;abnegate parody anxiously
10;phew woot allegation;as weakly rigidly;tepid ugh at;above thoroughly;catalyst on pish;yowza whether madly;after;6341;without allegation;roadway although nor;down;since;whether ack sheathe;along cheap ashamed
