id;dc_famil;dc_imena;dc_pol;dc_darj;dc_grad;dc_ulica
1;ew forenenst;only;warmly dark while;hmph phooey;cash drat;mmm than despite
2;graduate yuck;meh decent zowie;after league;along;accessorise;floodlight tough whoever
3;tender quintuple politely;anxiously instructor;fumigate;whoa owlishly;inside whoa whether;incidentally outside by
4;bludgeon cautiously and;wherever quicker rusty;lift;um a abnegate;browse;unnecessarily
5;provided which nor;cheetah between;why;without whenever;popularize modulo what;before
6;uh-huh mostly;perfectly;since mouser yahoo;failing before;phew till neaten;above utilized meanwhile
7;beneath mmm;whether;intensely;since out up;limply beyond opposite;near indeed chunder
8;beyond witty blah;boo puritan fooey;rapid hollow;past including swerve;skyscraper toady boohoo;and as
9;wildly;purple um;mmm;intensely mockingly too;against;woot begonia monthly
10;deliberately unless version;far wherever;rich for wherever;because drat badly;deduct alongside;internalise spirit
